Activity1,Activity2,index,It helps to get points in,Required for,Perfect substitute for ,Required to max point in 
HRS (430),Elevation Certificates (310),0,,,,
HRS (430),Map Information Service (320),1,,,,
HRS (430),Outreach Projects (330),1,,,,
HRS (430),Hazard Disclosure (340),1,,,,
HRS (430),Flood Protection Information (350),1,,,,
HRS (430),Flood Protection Assistance (360),1,,,,
HRS (430),Flood Insurance Promotion (370),0,,,,
HRS (430),Flood Hazard Mapping (410),1,,,,
HRS (430),Open Space Preservation (420),1,,,,
HRS (430),Higher Regulatory Standards (430),0,,,,
HRS (430),Flood Data Maintenance (440),0,,,,
HRS (430),Stormwater Management (450),0,,,,
HRS (430),Floodplain Management Planning (510),0,,,,
HRS (430),Acquisition and Relocation (520),0,,,,
HRS (430),Flood Protection (530),0,,,,
HRS (430),Drainage System Maintenance (540),0,,,,
HRS (430),Flood Warning and Response (610),0,,,,
HRS (430),Levees (620),0,,,,
HRS (430),Dams (630),0,,,,
FDM (440),Elevation Certificates (310),0,,,,
FDM (440),Map Information Service (320),1,,,,
FDM (440),Outreach Projects (330),1,,,,
FDM (440),Hazard Disclosure (340),1,,,,
FDM (440),Flood Protection Information (350),0,,,,
FDM (440),Flood Protection Assistance (360),1,,,,
FDM (440),Flood Insurance Promotion (370),1,,,,
FDM (440),Flood Hazard Mapping (410),1,,,,
FDM (440),Open Space Preservation (420),1,,,,
FDM (440),Higher Regulatory Standards (430),1,,,,
FDM (440),Flood Data Maintenance (440),0,,,,
FDM (440),Stormwater Management (450),1,,,,
FDM (440),Floodplain Management Planning (510),1,,,,
FDM (440),Acquisition and Relocation (520),1,,,,
FDM (440),Flood Protection (530),1,,,,
FDM (440),Drainage System Maintenance (540),1,,,,
FDM (440),Flood Warning and Response (610),1,,,,
FDM (440),Levees (620),1,,,,
FDM (440),Dams (630),1,,,,
SM (450),Elevation Certificates (310),0,,,,
SM (450),Map Information Service (320),0,,,,
SM (450),Outreach Projects (330),1,,,,
SM (450),Hazard Disclosure (340),0,,,,
SM (450),Flood Protection Information (350),0,,,,
SM (450),Flood Protection Assistance (360),0,,,,
SM (450),Flood Insurance Promotion (370),0,,,,
SM (450),Flood Hazard Mapping (410),1,,,,
SM (450),Open Space Preservation (420),1,,,,
SM (450),Higher Regulatory Standards (430),0,,,,
SM (450),Flood Data Maintenance (440),1,,,,
SM (450),Stormwater Management (450),0,,,,
SM (450),Floodplain Management Planning (510),0,,,,
SM (450),Acquisition and Relocation (520),0,,,,
SM (450),Flood Protection (530),0,,,,
SM (450),Drainage System Maintenance (540),1,,,,
SM (450),Flood Warning and Response (610),0,,,,
SM (450),Levees (620),0,,,,
SM (450),Dams (630),0,,,,
FMP (510),Elevation Certificates (310),0,,,,
FMP (510),Map Information Service (320),0,,,,
FMP (510),Outreach Projects (330),1,,,,
FMP (510),Hazard Disclosure (340),0,,,,
FMP (510),Flood Protection Information (350),0,,,,
FMP (510),Flood Protection Assistance (360),0,,,,
FMP (510),Flood Insurance Promotion (370),1,,,,
FMP (510),Flood Hazard Mapping (410),0,,,,
FMP (510),Open Space Preservation (420),1,,,,
FMP (510),Higher Regulatory Standards (430),0,,,,
FMP (510),Flood Data Maintenance (440),0,,,,
FMP (510),Stormwater Management (450),0,,,,
FMP (510),Floodplain Management Planning (510),0,,,,
FMP (510),Acquisition and Relocation (520),1,,,,
FMP (510),Flood Protection (530),1,,,,
FMP (510),Drainage System Maintenance (540),0,,,,
FMP (510),Flood Warning and Response (610),0,,,,
FMP (510),Levees (620),0,,,,
FMP (510),Dams (630),0,,,,
AAR (520),Elevation Certificates (310),0,,,,
AAR (520),Map Information Service (320),0,,,,
AAR (520),Outreach Projects (330),0,,,,
AAR (520),Hazard Disclosure (340),0,,,,
AAR (520),Flood Protection Information (350),0,,,,
AAR (520),Flood Protection Assistance (360),1,,,,
AAR (520),Flood Insurance Promotion (370),0,,,,
AAR (520),Flood Hazard Mapping (410),0,,,,
AAR (520),Open Space Preservation (420),1,,,,
AAR (520),Higher Regulatory Standards (430),0,,,,
AAR (520),Flood Data Maintenance (440),0,,,,
AAR (520),Stormwater Management (450),0,,,,
AAR (520),Floodplain Management Planning (510),1,,,,
AAR (520),Acquisition and Relocation (520),0,,,,
AAR (520),Flood Protection (530),0,,,,
AAR (520),Drainage System Maintenance (540),0,,,,
AAR (520),Flood Warning and Response (610),0,,,,
AAR (520),Levees (620),0,,,,
AAR (520),Dams (630),0,,,,
FP (530),Elevation Certificates (310),0,,,,
FP (530),Map Information Service (320),0,,,,
FP (530),Outreach Projects (330),0,,,,
FP (530),Hazard Disclosure (340),0,,,,
FP (530),Flood Protection Information (350),0,,,,
FP (530),Flood Protection Assistance (360),1,,,,
FP (530),Flood Insurance Promotion (370),0,,,,
FP (530),Flood Hazard Mapping (410),1,,,,
FP (530),Open Space Preservation (420),0,,,,
FP (530),Higher Regulatory Standards (430),0,,,,
FP (530),Flood Data Maintenance (440),0,,,,
FP (530),Stormwater Management (450),0,,,,
FP (530),Floodplain Management Planning (510),1,,,,
FP (530),Acquisition and Relocation (520),0,,,,
FP (530),Flood Protection (530),0,,,,
FP (530),Drainage System Maintenance (540),0,,,,
FP (530),Flood Warning and Response (610),0,,,,
FP (530),Levees (620),0,,,,
FP (530),Dams (630),0,,,,
